Unnamed: 0,brand,watch_short_description,watch_price,watch_mrp,watch_offer,watch_rating,watch_num_rating,total_product_rating,watch_detail,Number_of_ratings,Number_of_reviews
0,hala,"Kids Watch, Boys Watch Digital Watch  - For Men Abx1017-Gents Green Solitary Camouflage Pattern",219.0,1499.0,0.85,4.0,"38,162 ratings and 2,234 reviews",4.0,"Product Details
            









                Water Resistant
               

                Yes
               



                Display Type
               

                Digital
               



                Style Code
               

                Abx1017-Gents Green Solitary Camouflage Pattern
               



                Series
               

                Kids Watch, Boys Watch
               



                Occasion
               

                Sports, Casual
               



                Watch Type
               

                Wrist Watch, Sports Watch, Chronographs
               



                Pack of
               

                2
               



                Sales Package
               

                2 watches
               



                Shock Resistance
               

                Yes
               



                Mechanism
               

                Digital
               



                Model Name
               

                HL-76G
               



                Strap Color
               

                Green
               



                Net Quantity
               

                2
               



                World Time
               

                No
               



                Dual Time
               

                No
               



                Strap Type
               

                PU Resin Strap
               



                Strap Design
               

                Plain
               



                Case/Bezel Material
               

                Plastic
               



                Water Resistance Depth
               

                5
               



                Novelty Features
               

                Durable Sports Watch, Stop Watch, Back Light
               



                Power Source
               

                Battery Powered
               



                Power Reserve Indicator
               

                No
               



                Light
               

                Illuminated 7 colored Lights
               



                GPS
               

                No
               



                Clasp Type
               

                Buckle
               



                Moonphase
               

                No
               



                Box Material
               

                Cardboard Box
               



                Dial Color
               

                Black
               



                Width
               

                23 mm
               



                Height
               

                270 mm
               



                Thickness
               

                2 mm
               



                Diameter
               

                35 mm
               



                Weight
               

                60 g
               



                Domestic Warranty
               

                6 Months
               



                Warranty Service Type
               

                Please send your queries to our Whatsapp no. +91 9919884537 or write an email to us at halafashion04@gmail.com.
               



                Warranty Period
               

                NA
               


               Put on this digital wrist watch that is prepared by hala during a sport dawdle with your friends and earn enormous of compliments. Made out of a premium quality material, this digital watch is long lasting and durable too. Further, the casing adds more appeal to its overall look that you can wear out during your sports days.Featuring a sporty round dial with stylish numerals inside, this watch for kids is very much water resistant and will retain its quality for the years to come. You can show it off with your casual attires to grab compliments from everyone around.
              

               Manufacturing, Packaging and Import Info
              


              Read More",38162,2234
1,LOIS CARON,Trending Day & Date Functioning for Boys Analog Watch  - For Men LCS-8188,329.0,1799.0,0.81,4.2,"1,80,002 ratings and 12,233 reviews",4.2,"Product Details
            









                Water Resistant
               

                No
               



                Display Type
               

                Analog
               



                Style Code
               

                LCS-8188
               



                Series
               

                Trending Day & Date Functioning for Boys
               



                Occasion
               

                Casual, Party-Wedding, Formal, Sports
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Sales Package
               

                1 Watch With LOIS CARON Box
               



                Shock Resistance
               

                No
               



                Scratch Resistant
               

                No
               



                Mechanism
               

                Quartz
               



                Model Name
               

                LCS-8188
               



                Strap Color
               

                Silver
               



                Net Quantity
               

                1
               



                Strap Material
               

                STAINLESS STEEL Strap
               



                World Time
               

                NO
               



                Dual Time
               

                NO
               



                Strap Type
               

                Bracelet
               



                Strap Design
               

                Trendy Design
               



                Case/Bezel Material
               

                Stainless Steel
               



                Novelty Features
               

                DAY & DATE & TIME, DAY & DATE FUNCTIONING, DAY & DATE, DATE DISPLAY, BLUE DAY & DATE FUNCTIONING, BLUE DIAL DAY & DATE FUNCTIONING WATCH, STAINLESS STEEL WATCH, BLUE DIAL AND SILVER STRAP DAY & DATE FUNCTIONING WATCH FOR BOYS
               



                Power Source
               

                BATTERY POWERED , BUTTON CELL
               



                Power Reserve Indicator
               

                NO
               



                Light
               

                NO
               



                GPS
               

                NO
               



                Tourbillon
               

                NO
               



                Clasp Type
               

                Push Button Clasp
               



                Moonphase
               

                NO
               



                Box Material
               

                CARD BOARD
               



                Other Functions
               

                DAY & DATE & TIME, DAY & DATE, DAY & DATE FUNCTIONING, DATE DISPLAY, DAY DISPLAY, BLUE DAY & DATE FUNCTIONING WATCH
               



                Other Body Features
               

                DAY & DATE & TIME, DAY & DATE FUNCTIONING, DAY & DATE WATCHES FOR MENS, DAY & DATE, DAY & DATE WATCHES FOR BOYS, DATE DISPLAY, DAY DISPLAY, BLUE DIAL DAY & DATE FUNCTIONING WATCH
               



                Dial Color
               

                Blue
               



                Domestic Warranty
               

                6 Months
               



                International Warranty
               

                6 Months
               



                Warranty Service Type
               

                Off-Site Service Warranty, Email Id :- helpdesklcpvtltd@gmail.com
               



                Warranty Period
               

                6 Months
               


               Men will never miss out on his time machine when it comes to his fashion quotient . Apart from being an indispensable tool for making life easier , men's watches are an extension for their personality.
              

               Manufacturing, Packaging and Import Info
              


              Read More",180002,12233
2,Blue Pearl,Analog Watch  - For Men Combo Pack Of 2 New Arrival Black & Brown,219.0,1499.0,0.85,3.8,"18,895 ratings and 1,013 reviews",3.8,"Product Details
            









                Display Type
               

                Analog
               



                Style Code
               

                Combo Pack Of 2 New Arrival Black & Brown
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                2
               



                Sales Package
               

                2 Watch
               



                Mechanism
               

                Quartz
               



                Strap Color
               

                Black, Brown
               



                Net Quantity
               

                2
               



                Strap Material
               

                Synthetic Leather Strap
               



                Strap Type
               

                Stitched
               



                Case/Bezel Material
               

                Stainless steel
               



                Power Source
               

                Battery Powered
               



                Box Material
               

                Paper
               



                Dial Color
               

                Black, Silver
               



                Domestic Warranty
               

                6 Months
               



                Warranty Service Type
               

                Off Site Warranty - Customer will Need to send the Defected Product to Our Warehouse and the replaced Product will be sent back to customer.
               



                Warranty Period
               

                6 Months
               


               This Analog Watches comes with a Designer Look dial and stainless steel back. The dial is protected by a mineral glass and has a Designer strap for added comfort with Precious Finishing. The time is controlled by a single crown on the side of the watc
              

               Manufacturing, Packaging and Import Info
              


              Read More",18895,1013
3,SONATA,Volt Analog Watch  - For Men 77085PP03,435.0,725.0,0.4,4.3,"1,21,321 ratings and 13,926 reviews",4.3,"Product Details
            









                Water Resistant
               

                Yes
               



                Display Type
               

                Analog
               



                Style Code
               

                77085PP03
               



                Series
               

                Volt
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Strap Color
               

                Black
               



                Net Quantity
               

                1
               



                Case/Bezel Material
               

                ABS Plastic
               



                Water Resistance Depth
               

                30
               



                Novelty Features
               

                Trendy Dial with Circuit Theme
               



                Dial Color
               

                Black
               



                Width
               

                45 mm
               



                Warranty Period
               

                12 Months( 1 Year)
               


               Manufacturing, Packaging and Import Info
              


              Read More",121321,13926
4,Fastrack,Analog Watch  - For Men 3240SL02,1047.0,2095.0,0.5,4.3,"33,537 ratings and 2,832 reviews",4.3,"Product Details
            









                Water Resistant
               

                50 m
               



                Display Type
               

                Analog
               



                Style Code
               

                3240SL02
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Sales Package
               

                Watch, Foam, Warranty Card
               



                Strap Color
               

                Brown
               



                Net Quantity
               

                1
               



                Strap Material
               

                Genuine Leather Strap
               



                Case/Bezel Material
               

                Brass
               



                Clasp Type
               

                Normal
               



                Dial Color
               

                Blue
               



                Domestic Warranty
               

                2 Year
               



                Warranty Period
               

                2 Years
               


               5 ATM/50 m Water resistance. Leather Strap. Stainless steel back cover. High precision quartz analogue movement.
              

               Manufacturing, Packaging and Import Info
              


              Read More",33537,2832
5,TIMEX,Analog Watch  - For Men TWTG80SMU09,1135.0,2795.0,0.59,4.3,"4,789 ratings and 362 reviews",4.3,"Product Details
            









                Water Resistant
               

                Yes
               



                Display Type
               

                Analog
               



                Style Code
               

                TWTG80SMU09
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Shock Resistance
               

                No
               



                Scratch Resistant
               

                No
               



                Mechanism
               

                Quartz
               



                Strap Color
               

                Black
               



                Net Quantity
               

                1
               



                Strap Material
               

                Stainless Steel Strap
               



                World Time
               

                No
               



                Dual Time
               

                No
               



                Strap Type
               

                Bracelet
               



                Case/Bezel Material
               

                Brass
               



                Water Resistance Depth
               

                30
               



                Power Source
               

                Battery Powered
               



                Power Reserve Indicator
               

                No
               



                Clasp Type
               

                Push-Button clasp
               



                Box Material
               

                Cardboard
               



                Other Functions
               

                3 Hands
               



                Dial Color
               

                Blue
               



                Thickness
               

                7.35 mm
               



                Diameter
               

                41 mm
               



                Weight
               

                92.25 g
               



                Domestic Warranty
               

                1 Year
               



                Warranty Service Type
               

                1 Year Warranty against manufacturing defects.
               



                Warranty Period
               

                12 Months( 1 Year)
               


               41mm Men's sleek full black bracelet watch with blue dial and rose gold accents.
              

               Manufacturing, Packaging and Import Info
              


              Read More",4789,362
7,CASADO,The Quad Series | All Black | Two Tone | Minimalism | Premium | Silicon Mesh Strap | Scratch Resistant | Water Resistant | 1 Year Quartz Machinery Warranty | Boys Analog Watch  - For Men CSD-387-BLACK-BLK,258.0,1499.0,0.82,3.9,"72,543 ratings and 6,193 reviews",3.9,"Product Details
            









                Water Resistant
               

                Yes
               



                Display Type
               

                Analog
               



                Style Code
               

                CSD-387-BLACK-BLK
               



                Series
               

                The Quad Series | All Black | Two Tone | Minimalism | Premium | Silicon Mesh Strap | Scratch Resistant | Water Resistant | 1 Year Quartz Machinery Warranty | Boys
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Shock Resistance
               

                Yes
               



                Scratch Resistant
               

                Yes
               



                Model Name
               

                The Quad Series | All Black | Two Tone | Minimalism | Premium | Silicon Mesh Strap | Scratch Resistant | Water Resistant | 1 Year Quartz Machinery Warranty | Boys
               



                Strap Color
               

                Black
               



                Net Quantity
               

                1
               



                Strap Material
               

                Silicon Strap
               



                Dual Time
               

                No
               



                Strap Type
               

                Silicon
               



                Strap Design
               

                Mesh
               



                Case/Bezel Material
               

                Alloy
               



                Clasp Type
               

                Buckle
               



                Box Material
               

                Cardboard
               



                Dial Color
               

                Black
               



                Domestic Warranty
               

                1 Year
               



                International Warranty
               

                1 Year
               



                Warranty Service Type
               

                In case of any damage/repair to the product, the customer has to bring the product to the certain service center(IN DELHI ONLY).
               



                Warranty Period
               

                12 Months( 1 Year)
               


               The Quad Series | All Black | Two Tone | Minimalism | Premium | Silicon Mesh Strap | Scratch Resistant | Water Resistant | 1 Year Quartz Machinery Warranty | Boys
              

               Manufacturing, Packaging and Import Info
              


              Read More",72543,6193
8,SONATA,Plastic Analog Watch  - For Men NP77085PP02W,435.0,725.0,0.4,4.3,"1,21,321 ratings and 13,926 reviews",4.3,"Product Details
            









                Water Resistant
               

                Yes
               



                Display Type
               

                Analog
               



                Style Code
               

                NP77085PP02W
               



                Series
               

                Plastic
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Model Name
               

                NP77085PP02W
               



                Strap Color
               

                Black
               



                Net Quantity
               

                1
               



                Case/Bezel Material
               

                ABS Plastic
               



                Water Resistance Depth
               

                30
               



                Novelty Features
               

                Trendy Dial with Circuit Theme
               



                Dial Color
               

                Black
               



                Width
               

                45 mm
               



                Warranty Period
               

                12 Months( 1 Year)
               


               Manufacturing, Packaging and Import Info
              


              Read More",121321,13926
9,CASADO,Branded Bracelet | Gold Plated | Studded | 3D Cut Glass | Day and Date Analog Watch  - For Men 626-BRACELET-DD,398.0,2999.0,0.86,4.0,"5,133 ratings and 182 reviews",4.0,"Product Details
            









                Display Type
               

                Analog
               



                Style Code
               

                626-BRACELET-DD
               



                Series
               

                Branded Bracelet | Gold Plated | Studded | 3D Cut Glass | Day and Date
               



                Occasion
               

                Casual
               



                Pack of
               

                2
               



                Model Name
               

                Branded Bracelet | Gold Plated | Studded | 3D Cut Glass | Day and Date
               



                Strap Color
               

                Gold
               



                Net Quantity
               

                2
               



                Dial Color
               

                Gold
               



                Domestic Warranty
               

                1 Year
               



                International Warranty
               

                1 Year
               



                Warranty Service Type
               

                In case of any damage/repair to the product, the customer has to bring the product to the certain service center (IN DELHI ONLY). Customer Care - casado.analogue@gmail.com ( 9555696737 )
               



                Warranty Period
               

                12 Months( 1 Year)
               


               Branded Bracelet | Gold Plated | Diamond Studded | 3D Cut Glass | Day and Date
              

               Manufacturing, Packaging and Import Info
              


              Read More",5133,182
10,Swisstyle,Analog Watch  - For Men White Dial Men's Analog Watch-SS-GR089-WHT-BLK,227.0,1599.0,0.85,3.9,"1,918 ratings and 106 reviews",3.9,"Product Details
            









                Display Type
               

                Analog
               



                Style Code
               

                White Dial Men's Analog Watch-SS-GR089-WHT-BLK
               



                Occasion
               

                Casual
               



                Watch Type
               

                Wrist Watch
               



                Pack of
               

                1
               



                Sales Package
               

                1 watch
               



                Strap Color
               

                Blue
               



                Net Quantity
               

                1
               



                Dial Color
               

                Blue
               



                Warranty Service Type
               

                Customer Needs To Call The Manufacturer To Inform About The Product. The Product Will Be Picked Up From The Customer'S Site And Replaced Product Will Get Delivered At The Customer'S Site Within 3 Business Days.
               



                Warranty Period
               

                12 Months( 1 Year)
               


               Manufacturing, Packaging and Import Info
              


              Read More",1918,106
