ratings,comments
5,Good one ✌️💖  
4,This is an amazing watch.but the quality of belt is not so good but it is in category of average. Thank you flipkart for giving me a nice deal.  
5,Awesome 👍👍👍👍👍  
5,Good condition  
4,Osm nice 👌 product 👌  
5,So nice  
4,I am very happy  
5,Nice product👌👌👌  
1,Waste product and not good  
5,This is very beautiful watch . I like it.  it's colour was attract me so I buy it.  
4,Thanks sir  
4,Good  
5,Very nice 💯  
5,Watch are better..looking.  
5,Nice product  
5,Nice watch ☺️⌚  
3,Good product 🙂☺️  
5,Quality is very good at price  
3,Good  
4,Nice  
5,Best degine of watch in low price  
4,Watch is simple and only time and no other features  
3,Nice Product  
3,Very good product  
5,Best quality watch.  
4,So beautiful watch  
5,Very Good Quality Im Very Happy 😌  
5,Nice  
4,Best for look💯  But build quality doesn't satisfy.  Rate : 4/  
4,Nyc  
5,Premium look just love it.... Don't hesitate to buy it.  
4,Good product  
5,Good watch'👍👍👍  
5,very nice product ..look wise so good and feel better as compare to price of product.  
5,Beautiful watch  Worth the price  Does feel premium with leather belt  
5,More amazing then expected  
5,"Very professional look and good quality design.  Leather Belt.  All the inner dials are functioning.  Shows Time, Date and Day.  I think this is the Best at this price range.  Go for it...👍🏻👍🏻👍🏻  "
5,Just a wooow watch  
5,Gifted by my girlfriend ❤️  Awesome watch  Looks very premium  Thank You 🐝💕  
5,Super look👍👍👍  
5,Looking awesome  
4,"Really the watch is so fantastic that I can't quite explain  Looking very luxurious  Price 1167 is nothing before the watch  Thanks to Flipkart  Go for this watch ""Peter England""  "
4,1month baad  
5,I love it❤️❤️  Product looks original as shown in the images.  I'm sure you will be delighted after buying. For me it is value for hard-earned money.  I very happy with the quality.  
5,"The watch is pretty nice and looks worthy to wear in any formal or party occasions.  The rose gold color looks like lighter copper color.  Chronos are working fairly. Adjustment guide is given in manual that can be found inside the box.  At 35mm it's okay for a not so wide wrists, but if you have pretty wide wrists then go for watches of 38mm or above to get bolder look.  Overall, it's the best you can get for what you're paying. Don't forget the VFM factor.  "
4,"The dial looks very beautiful and the its rose gold color makes it stand out.  The strap quality is average, doesn't compares with the likes of Titan or other quality brands.  Looks-5/  Strap quality-3/  "
5,Nice watch at this price i have purchased this at 1522.  Simple design and all subdial (day and date) are working.  
4,Product is dam good  
5,Awesome.। I really liked this watch. Rather than classy it's also featuristic as it's all dials are working .  
4,Good product  
4,Nice formal watch .  
4,Its really nice..  
5,One of the best purchases I have ever made on flipkart. Looks both classic and stylish at the same time.  
4,very good product. 👍  
5,"Fabulous 😍😘✌️ very nice watch😍 very nice in looking, dail size is medium, belt also good quality and long.  "
5,Looks great & top notch quality.  Got the dilevery today.... Let's see how it performs..  
5,Just love it  
4,Osammm product tq soo much flipcart  
5,😎Premium quality watch....l  
5,Extraordinary product with a classy look. The strap may fall short for those who do wrist workouts. Genuinely loved this product.  
5,Satisfied  
5,Loved it 🥰  
5,Incredible watch in this range  Thanks flipkart  
5,Classic watch in nice price  
5,It's design is really amazing.  And it feels very soft as well as it looks astonishing on the wrist. It is best in all aspects.  
4,Nice product.  
5,Superb built quality.  And Value for money.  Super stylish and comfortable to wear at office or casually.  Comes with an awesome brand.  Top notch product at this price segment if you want a branded watch  
4,It's cool but it doesn't feel good to wear it. The strap doesn't even move when u open it from the box it was so thight and after some days of use it got softer.  Overall it's a good watch.  
3,Best quality and uncomfortable  
4,Super quality of valuable.  
5,Nice Product..!!👍  
4,Nice  
4,Nice look... Thank you fastrack...  
5,"Amazing watch, value of money.  "
5,Quality: 5 ✴️  Comfort: 5 ✴️  Style: 5 ✴️  Design: 5 ✴️  Awesome product by Fastrack at this low price. I purchased it with 1047 Rupees. I strongly recommend buyers to go for it without a second thought.  Note: Your hand should be little big in size i.e your wrist part for this watch.. If your hand is small then it won't look good at all.  
5,Excellent product 😍  
5,"Great quality, but the strap isn't that comfortable to wear but still satisfied by the product  "
5,love this 🥰😍  
4,Good watch in this price range  
5,Supper Thank you flipkart 🥰😘❤Awesome and great Good product 😘😘❤❤💯💯👍👍  
5,Looks great! 😊  
5,Best  
5,I can definitely say u fell love wdh it after looking this watch .Can say one of the best in this price❣️❣️❤️❤️❤️❤️🤯🤯  
5,Awsome product  
5,Stunning for the price. Looks like around 5K+.  
5,Nice product but it is somehow costly at this price  
5,Love this watch.  Looks gentle value for money  
5,A perfect Analog Watch 😍❤️  
4,Good product 👌  
5,Amazing stuff  Quality & finishing superb  Must buy  
5,Amazing stuff  Quality & finishing superb  Must buy  
4,"Product is good for quality and value of money is ok.  But, design of product not good. Night time view is not visible. Like radium has inserted in time needles, possible to clear visible. Day time usage persons only i will recommend to purchase  "
5,It feels very comfortable and this watch is attractive. This watch will make your look more attractive. Go for it. Happy to recieve this excellent product  
5,Very nice product.worth price  
5,Good  
5,Very nice and premium look ⌚  
5,Thanks for Almighty for such a lovely watch ⌚  
5,Classy watch rough & top this watch is awesome......  
3,Nice watch but size issue  
4,Nice one  
5,Superb look  
5,"Writing after being owning the product since 6 months , Good product , suitable on formals..... Thanks Flipkart  "
5,"Nice watch in this price range,must buy  "
4,Nice one  
4,Product is good  
4,Look wise fantastic colour awesome  Looks premium love it mind blowing purchase from flipkart  
5,Awesome watch 😍😍😍  
5,Watch is very nice looking and very attractive.  
5,Beautiful watch  
5,Nice product and feels in hand very comfortable. 👍  Love it 💖  
5,Thank you flip kart for such a good packaging and the product was awesome and price is also good and I loved this product and dilevery was very fast.👍  
5,This product is really very very impressive and I really liked it. In this range it is made of very good quality and the look is also a premium one. I will really suggest everyone to buy this.  
5,"The best services with assured products... it's really worth it..And as usual the services is on time ... Now about the watch ,I am very much satisfied with the best stunning finishing of silver coated texture of this watch this make it classic and the silver coated texture sometimes looks like a lead colour which is more likable to me... well it's depend on the incident of light and it's intensity....  it has beautiful designed... its extra feature makes its more worthable such as its date...  "
5,nice quality  
5,Good product  
5,It's a good product.  It's value for money  
4,"Good watch with a nice box and good packaging..the strap was little hard in beginning but it become softer as u wear it..check out the pics which i uploaded. Delivery Boy(eKart)- Umar_starwalk(Delivered on time,Nice!)  "
5,Best Quality  
4,great quality great looks great fit all at great price  
5,Awesome Watch😍🤩  Good Quality ☺️  Looking Premium 😎  
3,It is good looking and quality is also good for this affordable prize  
5,Good product best quality very good item  
4,Very nice  
3,Dialer thickness is a little more... Dialer should have been thinner... everything else is fine  
4,Nice product..  
5,"I am extremely very very happy, it's always been a pleasure to shop from Flipkart. Very good quality n designs n features 👍👍👌👌🤩🤩👏👏😘😘😘👈👈🎉🎉🤩🤩🤩🤩💓💓💓  "
5,Amazing product.....  
3,best watch.....  
5,nice watch  
5,Value for money  
5,Value for money  
5,"Desine Is Best,Good Product, Waterproof is not available this watch but best hand watch ,date & day show is available awesome  👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍  "
5,Packing is too gd.. I'm love it. Nd product just awesome cool looks..  
4,Nice 👍💕  
5,Good 👍  
5,good looking and exactly as shown here  happy with the order  
4,Nice  
4,nice  
4,good and comes with good packing best watch for 331 rs. so buy it its good watch  
5,Very good product 👍  
4,Nice  
5,Perfect  
5,Nice products 😘  
5,"I ordered this combo pack, but the black watch was used, so I returned this,  But the quality is very good, looks are pretty  "
4,It's more than my expectation❤️  
3,Product quality and design are very good but late delivery service are not good  
5,Good product  
4,Nice product  
4,Nice  
5,Best product  
5,Best  
5,Thank you  
1,Very low quality  
4,Nice watches  
3,Good product  
4,Nice product this range  
5,Very nice and attractive watchs  
4,This product are very nice 👌  
3,Gud products  
1,"Waste product, don't buy  "
1,Black watch is average but the other watch leather one is not look like as the mention in the image the dailer in the image is white but I received grey dailer which is not looks good.  
4,Good  
3,Easily borken  
5,Supebbb  
3,White nice but black is almost successfully product  
5,Happy  
5,The watch design and look is good/ but his belt his so low quantity  
5,Very good  
5,Good product  
5,Perledhu bro chep and best  
1,Watch is very god product. But that chain was low quality product. Broken after 3days  
5,"Owsome look , owsome watch nice  "
5,Good quality  
4,Good watch in this price range. Go for this product.  
5,Nice product 👍👍👍👍👍  
5,Superb watch in less money  Just loved it  Value for money  
1,Colour shade  
5,5 star  
5,Good nice  
5,I like you product nice  
5,Very nice 👌 👍  
5,Good  
5,Nice  
3,Yes I like  
4,Nice 👍  
3,Nice for only 30 days. After 30 days that leave their golden colour and become silveris.  
5,Beautiful thank you Flipkart  
5,Nice  
4,Good  
1,Bundle watch hain  
4,Nice product  
5,Very good  
5,Good hai  
5,excellent product shandaar  
4,Good  
5,Very nice 🌹  
5,Nice pic  
3,Because lock is not good  
5,Very good.  
1,Plz don't buy it's worked only just 2dys  
5,"so great watch and great service and delivery.  about watch there are couple of things I want to mention,  first this is a sports kind of watch not suitable with formal attire.  second the band is little fragile and might get cracks if you latch and de-latch the strap vigorously...  Overall this watch is very Great and value for money  "
5,"it is very good product and good price,good look,but the watch strip can be more soft but it is not fully comfortable but mainly watch is good I am satisfied to Flipkart ❤️  "
5,nice product 😇😇😇  
5,Superrb  
5,nice prodect....good looking watch  
5,"One of the best watch Tata Sonata I have purchased till yet, after a 10 day review  I have to say totally worth.  Richie look,  wonderfull design,  Nice colour & fitting perfect in hand with size,  simply realiable &  even working in water continuously kept for 3 minutes & proper packing from Flipkart with Sonata Box.  proud to have nice choice Tata Titan brand 😍👌🏻  "
5,"it's very nice, stylish & good looking...  good fitting ...?  value for money...  "
5,I like this product because this product is cheaper than other that's not exact reason as well as the quality is best and so beautiful stunning I recommended to other buy this product that's all  
5,This watch is very comfortable in hand and the dial meets my expectations.I got this watch in 5 days. this watch is very cool and the watch works perfectly.  Thanks to the FLIPKART again for a wonderful product  
4,like this and Good Stylish Watch  
5,Good watch very stylish and sporty but beware of scratches .  
5,excellent product  
5,nice product quality is more than better  
5,NICE WATCH  
5,"Good quality product, exactly the same as shown in the picture.  "
4,"looks good, feels great, considerably light light-weight.. the only thing that I didn't like about this is the fact that the bady is made of plastic, but again that does add to it being so light. Also, I really wish if the needle tips were coated with radium or any kind of glow-in-the-dark paint, which would have made it stand out, definitely :)  "
5,"Best quality of watch at this price. Everything is excellent like strips, design, dial and quality. One of the best products of Sonata from TATA. Thanks to Sonata to designing such type of watch.  "
5,it just wow  
4,comfort price comfort item  
5,awesome product  
5,it's stylish as well as casual wear type. dial design is superb.  
5,"Fabulous watch. This is a must buy. It's a decent awesome looking watch. I m 11 year old boy, found this watch exciting.  "
4,9out of 10 good not to good  thanks sonata  
5,Good product to buy under price 500rs I like the design work on the belt but I don't think we can use this watch for rough use bcz the belt very very lite feels like a local watch but Once u wear it looks premium..  
4,Good and fair quality watch. Good design and give fantastic look like premium. Good experience and light wait watch.  
5,Awesome 👌 product 👏 👌  
5,very nice...  
5,"feel good,,,,quality is good  "
5,nice watch  must buy.....  
5,good but is look is not so cool and quality is good and service is also nice  
3,Good quality  Desent looking. Overall worth watch is my opinion  
4,"Good product , nice look  "
4,Really looking nice product  
5,Good Quality product still working in perfect condition.Looks premium.Nice for gifting purpose too.  
5,NYC product 🥰🥰  
5,Super boss  
3,It's looks very nice but date and week is not changing otherwise all good I am not satisfied for this watch  
5,Most beautiful product  
4,"All are good but one thing that hour niddle and minute niddle not proper suitable position(15 minutes gap ) that is when minute niddle at 45 then hour niddle position exactly 12,11 etc position.  "
5,Good product 👍  
5,Nice watch ....... 👌👌👌👌👌  Ordered for my Friend 👲  No complain.Price is too low.Good product 👌👌👌👌👌  Thanks Flipkart 😍😍😍😍😍  
5,"Osom watch, & looking smart  "
5,Good  
4,Over Good  But Design Are Poor  And Delivery men Are Very Good Men😇👍  
1,Ok but something is bad it's lock wrost product  
5,Perfect  
5,nice watch  
5,Nice one  
4,"Watch is so impressive and I am obsessed💗with that, but packing is need to be improve,Only 1 star ⭐ not for good packing.  "
5,True to specifications  
2,Average watch  
5,Very good very nice I am satisfied  
5,Awesome product 👌👍.  Thank you Flipkart  
4,Very good product.  
3,Bumper deal!  
5,Nice  
5,Nice  
4,Good Product  Good Packing  
2,Product is good but delivere too mutch of late  
5,Superb  
5,too good quality and classic watch.  
5,excellent  
5,Watch is awesome👏✊👍. Absolutely love it. Good watch in low price. My brother is very happy. Thank you Flipkart.  
5,It is excellent watch  
5,Nice watch at a budget price. Clean and simple must buy.  
5,Product is good and and timely delivered.  
4,prodoct is good but delivery is no fast  
4,nice product ..  feel awesome  
5,simply good and nice watch  and value for money  
5,am very happy it's really looks Awesome ... worth for money...loved it....😍😍😍  
5,simply good and nice watch  and value for money  
4,design and outlook is super 👌👌👌 good worth...  
5,am very happy it's really looks Awesome ... worth for money...loved it....😍😍😍  
5,supper  
5,"it,s amezing, i was gifted my boy fd, he was very happy . thank you lovely flipiiiii😊😊👍👍  "
3,watch quality was absolutely fantastic but the dial print was not perfect.it was good other than the imperfection in dial design...the dial print was little bit cross  
5,"Nice watch, it is really a good watch, it worth it. Because of it today I have a watch. This watch is water resistant and shows correct time and it's really up-to-date.  This watch is may not be a scratch resistant but it is nice  It has a hand activition system  Thanks for this watch  CASADO  You have really made a good product  Thanks  "
5,Very nice products and nice look it very perfect for me I will recommend for anyone  
4,good...  
5,Good Product & Fast delivery  
5,"nice product, belt quality is very low  "
5,Awesome watch must buy it for boys.  
5,awesome product  
4,design and outlook is super 👌👌👌 good worth...  
5,It is a very gud product and looking like expensive watch  
3,Beautiful 🥰🥰🥰🥰  
5,Good quality product  
5,best watch  
5,Nice  
4,good...  
5,Lovely watch....  
5,Very happy nd satisfied 😌🥰  
5,Excellent 🥰  
5,Amazing watch  
5,Thank you Allen Solly  
5,"Fully satisfied,,  Product quality 5⭐  Look's 5⭐  And the most important thing is,, its slim looks are really amazing  "
5,"Decent look good quality genuine product, Value of money..  "
5,Very nice product best perfoming this one... I really like this.. Thank you Flipcart..  
4,Looking cool.  
4,Good  
5,Fantastic  
5,Gifted my husband..he just loved it🥰❣️  
5,Black colour is ultimate. Quality is best.  
5,Very nice and comfortable watch  I like this watch so much  And delivery is so fast  
5,Sexiest watch with best price go for it🔥❤ I loved it  
5,Fully satisfied and happy with the product  
5,Simply superb......  
5,Very nice 👍  
4,If you want to purchase this watch...You can definitely purchase it without any questions...The quality and design of this watch is best.  I am sharing some pictures of this Allen Solly watch you can see it for your satisfaction...  
5,I gifted it to my brother.. He likes it very much.. Tq flipkart  
5,Nice watch😍😍😍😍  
5,I just say Wow watch is very good I like the product  
5,Classy appearance and standard look. Loved this product. Good watch and good service by flipkart.  
5,Nyc watch my favourite....  
4,Fantastic design Classic Look  Specifically stainless steel 3 needle looks great while moments  Dial so attractive  Compact and dynamic...  
4,Looking for a black watch?  No doubt in this. Go for it  Look's amazing when u wear it.  Reasonable price  Value of money.  
5,"Worth the price.. good quality, simple design , looks elegant  "
5,Very fast delivery from Flipkart  Watch is very classy💯  Absolutely go for it.  
5,Awesome ❤️❤️❤️  
5,Nice  
5,Nice look  
4,Good looking  
5,Awesome watch  
5,As same as picture  
5,Colour is not perfect  
5,Loved it 😍😍  LOVE YOU FLIPKART 🔥🔥🔥🔥  I believe in Flipkart and they never let me down 😍😍😍  
5,Nice  
4,Nice product  
4,Very nice product  
5,Super  
5,Nice  
5,Nice product.....  
5,I l am very happy with this product  
5,Nice 🙂  
5,Nice 👍  
4,Good watch  
5,So beautiful &good product 🤩  
5,Fell like a expencive 🥰😊  
5,Nice watch received ..Very Good  
3,Nice watch  
4,Good product  
5,Wonderful watch  
5,Looking cool  
1,Your watch ⌚ has stopped we do not need such a watch  
5,Very nice products good  
5,I love this watch but delivery was late  
1,Colour is being disappear with in 15 days  
4,Looking very nice and beautiful  
1,Hate it dont buy day and date key not working properly  
5,Nice product  
5,Superb watch from fogg. Good quality product for the given price. Premium looks. Trustworthy manufacturer. Good deal to go for if you are planning to buy a watch.  
4,Value for money  
4,good  
4,Good product love it 😍👍  
5,Really good watch looks stylish and like branded one  
5,Awesome feeling nice watch  
5,Nice Product..  
4,It's good.  
5,Good watch . It is better than titan watch that costs 10000 k . Very classy and excellent product .  
5,Awesome just love it  Go for it worth of money 😍😘😄😊  
4,Nice and beautiful watch worth of money.... thanks a lot Flipkart for this amazing product  
4,nice product🥰  
5,Just awesome Product  BEST F-I-V-E FEATURES I've noticed....  1).Nice Look  2).Nice Style and fittings  3).Perfect Product (as shown in display)  4).Full stainless steel body.  5). Nicely Packed with Warranty Card  . Delivery Boy's service awesome.  From: Durgapur  
5,nice  
5,Nice watch  
5,Nice product . Everything which is shown is always buy in this prodict.  
5,This is one of the best watch thank u flipkart for this wonderful watch  
5,best watch at this price  
5,Good Product and Nice watch  
5,Nice look  
5,Nice look  
5,Nice product but the length of the steel belt shuld be little bit more otherwise the product is really good 👍  
4,good for daily use.. finishing is not so fine but good product as per the price..  
3,super  
3,"Cost is cheaper (350+40 Rupees). But it doesn't look like new one. I can see scratches on watch and packing seems like very old. Look wise good but machine may not, as I experienced hard while changing time and date using right side scroll.  "
5,Nice watch quality is very good  
5,amazing product look like gorgeous but delivery. time delay pantaanga  
5,good looking watch  
5,best  
4,Nice..But.. It.. Is.. little.. Bigger..  
4,Nice formal watch .  
4,Its really nice..  
5,One of the best purchases I have ever made on flipkart. Looks both classic and stylish at the same time.  
4,very good product. 👍  
5,"Fabulous 😍😘✌️ very nice watch😍 very nice in looking, dail size is medium, belt also good quality and long.  "
5,Looks great & top notch quality.  Got the dilevery today.... Let's see how it performs..  
5,Just love it  
4,Osammm product tq soo much flipcart  
5,😎Premium quality watch....l  
5,Extraordinary product with a classy look. The strap may fall short for those who do wrist workouts. Genuinely loved this product.  
5,Satisfied  
5,Loved it 🥰  
5,Incredible watch in this range  Thanks flipkart  
5,Classic watch in nice price  
5,It's design is really amazing.  And it feels very soft as well as it looks astonishing on the wrist. It is best in all aspects.  
4,Nice product.  
5,Superb built quality.  And Value for money.  Super stylish and comfortable to wear at office or casually.  Comes with an awesome brand.  Top notch product at this price segment if you want a branded watch  
4,It's cool but it doesn't feel good to wear it. The strap doesn't even move when u open it from the box it was so thight and after some days of use it got softer.  Overall it's a good watch.  
3,Best quality and uncomfortable  
4,Super quality of valuable.  
5,"I am using this watch since 2 years and the watch is as good as brand new no sign of wear, the gold color is intact.. Some of u finding issue with barcode scanner but dont wry i confirmed it with fossil service center that its having issue with Barcode but the watch is purely genuine another issue buyers found is in model number so there are two models one is Bq1009 and another is Bq1009I so the Bq1009 is global version and Bq1009I is for India specific model..Bq1009 comes with gold color min...  "
3,nice  
5,The watch gives us a premium look. Blindly go for it . Thank you Flipkart for giving such great discounts on this product .  
1,"Flipkart has sent used and defective watch for two times, what else I can write a review on this.  "
4,Nice product.. Worth for the money. Classic looks.But hoping the leather strap quality could have been better..  
4,"i would like to rate it 4.  Premium looking , comfortable, you can wear it on parties, functions and where ever you want its up to you 😄.. i think only issue is to set date is not easy it takes much time we have to try again & again then once it set..  and one more thing many customers are confused about that Model no is BQ1009 OR BQ1009I.. i was also confused so i contacted to Fossil customer care service they told me model no is BQ1009 and ""I"" is just represent India so no worries..  and...  "
3,"Few watches shown here have radium, mine is not having any radium. Also the dial is not as smooth as my previous fossil watches. Did I get a first copy ??  "
5,Watch is awesome.. And it delivered on next day.  
5,It's well designed and feature. Nice color combination as well with original Fossil branded. Just go for it and worth it.  
5,Excellent product ...loved it  
4,superb  
5,"Amazing product,, However expected from Fossil. It feels so amazing looks so classy really happy with the product thanks Flipkart and Fossil  "
4,Quality is good. Leather finish of strap is awesome. It feels very comfortable while wearing. Looks good. I recommend it in this budget. It will be better if seller can provide combo offer with extra starps.  
5,Awesome watch. Class and elegance combo and got it at steal price of Rs 3999/-  
5,"All is well ,I Was Got It Only in 2998 Rupess (BBD Sell) but i don't know how to set Date  "
5,awesome 👌👌👌  
5,Decent looking watch  
5,what a marvallous product love u fossil for this premium watch  
5,Beautiful Watch It's Suit For All Occasions ..N Blindly U Can Buy This Watch.. Because It's Wonderful Price worth it 👌 I Luv Fossil Watch ⌚  
5,I love this watch love this model and design.  
5,I bought it @ 4249 ….it’s my first fossil product…it looks really premium and classy ….just love it ❤️  
5,It gives luxury look to us and best quality product received by fossil ever  
5,Just Awesome  
5,"I'm using Casio, Titan watch for last 9 year before this one . But fossil watch is not just only watch it's a class in self and jewellery. Definitely you'll feel satisfied and premium while wearing this watch one thing more casio Titan doesn't provide pure leather strap but fossil provide so this is good thing.  Simply you can say premium, classic and sexy watch  let's see how long lasting is it  "
5,look fantastic...  
2,"I have more than a couple of watches so I wear this particular 2-3 times a week, after a use of 3-4 months the colour of the bezel has changed and has turned to purplish blue, chronograph starting on the 58th second is also disappointing.  "
5,The time piece is excellent. It would be better if you don't use regularly. It's better to wear on any occasion.  
4,"Nice watch with a premium look that we can possibly get from Fossil in this range (5999). On receiving, the chronograph second hand was dislocated from 0. Thought of returning but with the help of Instruction manual, corrected it to the right position. So damn good looking otherwise. Just a little worried about the leather strap on how long it'll last.  "
5,"it's fossil,go for it.  Best watch in this price range.  "
5,Amazing watch!  
4,Good looking  
4,Nice product  
4,Very nice product  
5,Nice look  
5,Awesome watch  
5,As same as picture  
5,Colour is not perfect  
5,Loved it 😍😍  LOVE YOU FLIPKART 🔥🔥🔥🔥  I believe in Flipkart and they never let me down 😍😍😍  
5,Nice  
4,Good watch  
5,Nice  
5,Nice product.....  
5,I l am very happy with this product  
5,Nice 🙂  
5,Nice 👍  
4,Good watch  
5,So beautiful &good product 🤩  
5,Fell like a expencive 🥰😊  
5,Nice watch received ..Very Good  
3,Nice watch  
4,Good product  
5,Wonderful watch  
5,Looking cool  
1,Your watch ⌚ has stopped we do not need such a watch  
5,Very nice products good  
5,I love this watch but delivery was late  
1,Colour is being disappear with in 15 days  
4,Looking very nice and beautiful  
1,Hate it dont buy day and date key not working properly  
5,Nice product  
4,Looks good but I don't like the straps much otherwise it's very classy.  
5,I just love this watches. Thank you Flipkart.  
5,"Excellent Purchase, I got the watch under 5k. Excellent product from Fossil. One of the best additions to my collection. Thank you Flipkart.  "
5,"Value for money, i like the style  Looking fabulous  Strap quality is good  Colour combination is very good।  I was using Fossil gen 5 smartwatch,  Fossil is a reliable company।  I am happy with this watch  "
5,watch is great 😎. feels amazing.  
5,"Amazing looks like really one of the best premium brand , in first love seen after wear at our hand , fabulous looks , genuine leather also great traps dual tone & easy to open also .  "
5,Value for money..^  
5,"Superb, looking classic.  "
5,Awesome watch. Stylish 👌.  
5,"My dream watch, love it..  "
1,Got a bad product even though it was looking good. Infact it was a faulty product. The seconds hand in the chronograph was not working. Really do not know how the QC team passed such a product and got despatched. It really was a bad experience as booked the product with too much expectations.  
1,"I purchased this watch from fkipcart and returned deu to first copy but amount transferred gift card flipcart voillet, amount is not getting redeem in my account from flipcart voillet  "
5,"My dream watch, love it..  "
1,I love the design ❤️  
5,"Great product, looks stylish  "
5,Best 👍  
5,Fantastic... elegant.... Formal... Casual anything..  Must be in watch robe  
5,Excellent product  
5,Amazing watch..values for money  
